timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
0,-0.0047840298,-0.0733742948,-0.3339968065,-2.8704989396,-1.5640598203,-1.8499362208
1,-0.0005960942,-0.0828473290,0.2312758177,-2.7117102298,-1.5625722470,-2.0067623013
2,-0.0025079974,-0.0950266061,0.7934296579,-2.6658533286,-1.5608672861,-2.0521031263
3,-0.0109001620,-0.1136186544,1.3549538987,-2.5767987819,-1.5589051571,-2.1411045485
4,-0.0173212443,-0.1308034215,1.9168825429,-2.5303891308,-1.5561896900,-2.1853986716
5,-0.0219379877,-0.1451086092,2.4815054934,-2.5260985111,-1.5535614767,-2.1872129462
6,-0.0306813202,-0.1613519385,3.0556475471,-2.4938062419,-1.5519958428,-2.2183342794
7,-0.0420413206,-0.1806783855,3.6349083086,-2.4122875292,-1.5517089765,-2.2996353505
8,-0.0560439476,-0.2055551681,4.2216079394,-2.3762155847,-1.5507649333,-2.3354234975
9,-0.0698322253,-0.2274843202,4.8156946074,-2.4136950075,-1.5481700815,-2.2984956392
10,-0.0874761941,-0.2489682708,5.4162454137,-2.4810321280,-1.5444343953,-2.2328912757
11,-0.1046672209,-0.2670152692,6.0286467335,-2.5267973596,-1.5406948331,-2.1886611693
12,-0.1227620832,-0.2858667669,6.6542774750,-2.5117814227,-1.5393437409,-2.2051502232
13,-0.1432022567,-0.3058469789,7.3026899824,-2.3411768642,-1.5434786452,-2.3782099295
14,-0.1630550793,-0.3270448678,7.9679534222,-1.9612548625,-1.5486752021,-2.7590513395
15,-0.1828639098,-0.3489986039,8.6447607999,-1.6274843375,-1.5495417046,-3.0938348865
16,-0.2058646563,-0.3676532588,9.3283010652,-1.6224726702,-1.5482798031,-3.1012238174
17,-0.2310223802,-0.3763239012,10.0195187178,-1.9239344644,-1.5460314013,-2.8020090509
18,-0.2514391530,-0.3795552633,10.7295629176,-2.1471547291,-1.5420306276,-2.5781300795
19,-0.2671703713,-0.3858006960,11.4637697896,-2.1053360708,-1.5411996263,-2.6177503068
20,-0.2789681003,-0.3945665201,12.2247919332,-1.7697299717,-1.5442939400,-2.9525017031
21,-0.2929047748,-0.4017429349,13.0018922069,-1.4682945230,-1.5441818159,3.0296236877
22,-0.3093060565,-0.4066611174,13.7908998197,-1.3685255019,-1.5432894131,2.9307628297
23,-0.3233203532,-0.4071537462,14.5944681380,-1.4035889425,-1.5432417544,2.9679570537
24,-0.3413923133,-0.4061092330,15.4154542797,-1.4985143636,-1.5438738425,3.0636601578
25,-0.3552189413,-0.4061553656,16.2481141862,-1.6314810421,-1.5445764668,-3.0888659731
26,-0.3629013261,-0.4107391921,17.0940720508,-1.8357982310,-1.5447347648,-2.8819263776
27,-0.3654290919,-0.4219106797,17.9535864054,-2.0570855714,-1.5430648143,-2.6578087890
28,-0.3785059111,-0.4335688819,18.8347702419,-2.2542109792,-1.5407504821,-2.4612119525
29,-0.3905379117,-0.4525543511,19.7356329692,-2.2843512426,-1.5403385027,-2.4323294027
